initial_ratio,new_ratio,cv,score,time
0.2373046875,0.2373046875,0,0.695,1.2847959995269775
0.2373046875,0.31640625,0,0.655,1.3101656436920166
0.2373046875,0.421875,0,0.6,1.4149608612060547
0.2373046875,0.5625,0,0.56,1.652280330657959
0.2373046875,0.75,0,0.57,2.0566482543945312
0.2373046875,1.0,0,0.54,2.5920047760009766
0.2373046875,0.2373046875,1,0.745,1.1786129474639893
0.2373046875,0.31640625,1,0.675,1.2018439769744873
0.2373046875,0.421875,1,0.69,1.3408479690551758
0.2373046875,0.5625,1,0.635,1.6406359672546387
0.2373046875,0.75,1,0.565,2.3913233280181885
0.2373046875,1.0,1,0.545,3.1740548610687256
0.2373046875,0.2373046875,2,0.665,1.2035996913909912
0.2373046875,0.31640625,2,0.625,1.3147015571594238
0.2373046875,0.421875,2,0.625,1.481745958328247
0.2373046875,0.5625,2,0.595,1.8401930332183838
0.2373046875,0.75,2,0.595,2.0991334915161133
0.2373046875,1.0,2,0.585,2.4401021003723145
0.2373046875,0.2373046875,3,0.68,1.3545608520507812
0.2373046875,0.31640625,3,0.645,1.4033598899841309
0.2373046875,0.421875,3,0.605,1.7136919498443604
0.2373046875,0.5625,3,0.555,1.9271509647369385
0.2373046875,0.75,3,0.535,2.1456735134124756
0.2373046875,1.0,3,0.51,3.00034761428833
0.2373046875,0.2373046875,4,0.645,1.343656063079834
0.2373046875,0.31640625,4,0.635,1.4822535514831543
0.2373046875,0.421875,4,0.605,1.7184765338897705
0.2373046875,0.5625,4,0.6,2.0352766513824463
0.2373046875,0.75,4,0.605,2.2358453273773193
0.2373046875,1.0,4,0.585,2.5527637004852295
0.177978515625,0.177978515625,0,0.62,1.218390941619873
0.177978515625,0.2373046875,0,0.6,1.3334951400756836
0.177978515625,0.31640625,0,0.595,1.5520622730255127
0.177978515625,0.421875,0,0.6,1.7596690654754639
0.177978515625,0.5625,0,0.57,1.9033398628234863
0.177978515625,0.75,0,0.54,2.125490427017212
0.177978515625,1.0,0,0.52,3.513759136199951
0.177978515625,0.177978515625,1,0.655,1.253549337387085
0.177978515625,0.2373046875,1,0.66,1.3310515880584717
0.177978515625,0.31640625,1,0.61,1.6541035175323486
0.177978515625,0.421875,1,0.55,1.7649455070495605
0.177978515625,0.5625,1,0.525,1.8327407836914062
0.177978515625,0.75,1,0.515,2.0887444019317627
0.177978515625,1.0,1,0.515,2.9707300662994385
0.177978515625,0.177978515625,2,0.715,1.0533874034881592
0.177978515625,0.2373046875,2,0.655,1.1913816928863525
0.177978515625,0.31640625,2,0.615,1.200855016708374
0.177978515625,0.421875,2,0.575,1.4165151119232178
0.177978515625,0.5625,2,0.525,1.7233834266662598
0.177978515625,0.75,2,0.505,2.2051453590393066
0.177978515625,1.0,2,0.49,2.49654221534729
0.177978515625,0.177978515625,3,0.64,1.0415706634521484
0.177978515625,0.2373046875,3,0.645,1.2439775466918945
