initial_size,new_size,colapse_rate,cv,score,time
1000,7100,0.0,0,0.8232,8.57703685760498
1000,7200,0.0,0,0.8192,8.620657920837402
1000,7300,0.0,0,0.8204,8.78714919090271
1000,7400,0.0,0,0.8208,8.973046064376831
1000,7500,0.0,0,0.8236,8.908829689025879
1000,7600,0.0,0,0.8212,10.477309465408325
1000,7700,0.0,0,0.8228,9.237424850463867
1000,7800,0.0,0,0.8204,9.578052759170532
1000,7900,0.0,0,0.8196,9.878496885299683
1000,8000,0.0,0,0.8204,9.573503255844116
1000,8100,0.0,0,0.824,9.799453735351562
1000,8200,0.0,0,0.824,9.77711009979248
1000,8300,0.0,0,0.826,9.939973592758179
1000,8400,0.0,0,0.8264,10.512954711914062
1000,8500,0.0,0,0.8236,10.142923831939697
1000,8600,0.0,0,0.828,11.359037637710571
1000,8700,0.0,0,0.8224,10.515797138214111
1000,8800,0.0,0,0.8224,10.476260423660278
1000,8900,0.0,0,0.8216,10.633832693099976
1000,9000,0.0,0,0.8252,10.561058282852173
1000,9100,0.0,0,0.8212,12.361875772476196
1000,9200,0.0,0,0.8208,11.038512706756592
1000,9300,0.0,0,0.8264,10.94788932800293
1000,9400,0.0,0,0.8256,10.983049869537354
1000,9500,0.0,0,0.8288,11.154799938201904
1000,9600,0.0,0,0.8304,11.038710355758667
1000,9700,0.0,0,0.8312,11.199109077453613
1000,9800,0.0,0,0.8224,12.069119691848755
1000,9900,0.0,0,0.8296,11.780161380767822
1000,10000,0.0,0,0.8252,11.542234420776367
1000,1000,0.0,1,0.7948,1.3938496112823486
1000,1100,0.0,1,0.7884,2.092928409576416
1000,1200,0.0,1,0.7948,2.2537224292755127
1000,1300,0.0,1,0.7892,2.340763807296753
1000,1400,0.0,1,0.7812,2.5118937492370605
1000,1500,0.0,1,0.796,2.6056225299835205
1000,1600,0.0,1,0.7884,2.851064443588257
1000,1700,0.0,1,0.784,3.0121583938598633
1000,1800,0.0,1,0.7848,2.949916124343872
1000,1900,0.0,1,0.7792,3.080230236053467
1000,2000,0.0,1,0.7768,3.1862025260925293
1000,2100,0.0,1,0.7792,3.207540988922119
1000,2200,0.0,1,0.7848,3.4746127128601074
1000,2300,0.0,1,0.786,3.5719738006591797
1000,2400,0.0,1,0.7904,3.5706429481506348
1000,2500,0.0,1,0.798,3.844104766845703
1000,2600,0.0,1,0.7944,3.9412617683410645
1000,2700,0.0,1,0.7948,3.9974825382232666
1000,2800,0.0,1,0.802,4.203279256820679
1000,2900,0.0,1,0.802,4.240720987319946
1000,3000,0.0,1,0.8032,4.21772313117981
1000,3100,0.0,1,0.802,4.493603706359863
1000,3200,0.0,1,0.8064,4.580986499786377
1000,3300,0.0,1,0.802,4.670914173126221
1000,3400,0.0,1,0.8064,4.704787492752075
1000,3500,0.0,1,0.8032,4.7897047996521
1000,3600,0.0,1,0.8028,4.882354259490967
1000,3700,0.0,1,0.8116,5.080430030822754
1000,3800,0.0,1,0.8032,5.08629298210144
1000,3900,0.0,1,0.8036,5.186299800872803
1000,4000,0.0,1,0.8028,5.3228020668029785
1000,4100,0.0,1,0.802,5.299479007720947
1000,4200,0.0,1,0.8052,5.792023181915283
1000,4300,0.0,1,0.8008,5.718687534332275
1000,4400,0.0,1,0.802,5.686793327331543
1000,4500,0.0,1,0.8,5.870787143707275
1000,4600,0.0,1,0.7992,5.987711191177368
1000,4700,0.0,1,0.8076,6.244698524475098
1000,4800,0.0,1,0.8088,6.272301435470581
1000,4900,0.0,1,0.8076,6.227363586425781
1000,5000,0.0,1,0.8008,6.735273838043213
1000,5100,0.0,1,0.8016,6.560635566711426
1000,5200,0.0,1,0.802,6.6925458908081055
1000,5300,0.0,1,0.8036,7.610899925231934
1000,5400,0.0,1,0.8016,6.789319753646851
1000,5500,0.0,1,0.7984,7.017544507980347
1000,5600,0.0,1,0.8016,7.0808045864105225
1000,5700,0.0,1,0.8016,7.088571786880493
1000,5800,0.0,1,0.8,7.131543397903442
1000,5900,0.0,1,0.7996,7.435639142990112
1000,6000,0.0,1,0.8068,7.403618812561035
1000,6100,0.0,1,0.8024,7.543268442153931
1000,6200,0.0,1,0.7996,7.691213369369507
1000,6300,0.0,1,0.8028,7.936697959899902
1000,6400,0.0,1,0.8,7.868061542510986
1000,6500,0.0,1,0.7996,8.950176477432251
1000,6600,0.0,1,0.8036,8.417866945266724
1000,6700,0.0,1,0.8036,8.50544810295105
1000,6800,0.0,1,0.8044,8.273234367370605
1000,6900,0.0,1,0.8008,8.44372034072876
1000,7000,0.0,1,0.808,8.621517419815063
1000,7100,0.0,1,0.8016,8.466703653335571
1000,7200,0.0,1,0.804,8.453877449035645
1000,7300,0.0,1,0.8112,8.852877140045166
1000,7400,0.0,1,0.8124,10.72915267944336
1000,7500,0.0,1,0.806,8.822032928466797
1000,7600,0.0,1,0.8096,8.993521451950073
1000,7700,0.0,1,0.8104,9.067732810974121
1000,7800,0.0,1,0.8024,9.190386533737183
1000,7900,0.0,1,0.804,9.334676504135132
1000,8000,0.0,1,0.8092,9.37682032585144
1000,8100,0.0,1,0.812,9.528326749801636
1000,8200,0.0,1,0.808,9.40022325515747
1000,8300,0.0,1,0.804,9.66645073890686
1000,8400,0.0,1,0.8084,9.610266208648682
1000,8500,0.0,1,0.8092,10.104605197906494
1000,8600,0.0,1,0.81,10.092840909957886
1000,8700,0.0,1,0.8092,9.98317813873291
1000,8800,0.0,1,0.814,10.11870265007019
1000,8900,0.0,1,0.8104,10.312747716903687
1000,9000,0.0,1,0.8168,10.236002683639526
1000,9100,0.0,1,0.8108,10.30150842666626
1000,9200,0.0,1,0.8172,10.627174139022827
1000,9300,0.0,1,0.8192,11.11771535873413
1000,9400,0.0,1,0.8092,10.61536169052124
1000,9500,0.0,1,0.8132,10.699649810791016
1000,9600,0.0,1,0.8136,10.92421293258667
1000,9700,0.0,1,0.818,11.191959142684937
1000,9800,0.0,1,0.8196,11.02698540687561
1000,9900,0.0,1,0.818,11.49437165260315
1000,10000,0.0,1,0.826,11.476309776306152
1000,1000,0.0,2,0.7932,1.4432551860809326
1000,1100,0.0,2,0.7956,2.383732318878174
1000,1200,0.0,2,0.798,2.331491231918335
1000,1300,0.0,2,0.794,2.513099431991577
1000,1400,0.0,2,0.796,2.459184408187866
1000,1500,0.0,2,0.8024,2.8508572578430176
1000,1600,0.0,2,0.8008,2.909254550933838
1000,1700,0.0,2,0.802,3.0083346366882324
1000,1800,0.0,2,0.8028,3.220592975616455
1000,1900,0.0,2,0.8032,3.0767033100128174
1000,2000,0.0,2,0.8068,3.3862059116363525
1000,2100,0.0,2,0.8076,3.4751839637756348
1000,2200,0.0,2,0.8024,3.500425338745117
1000,2300,0.0,2,0.8096,3.781566619873047
1000,2400,0.0,2,0.8088,3.968043804168701
1000,2500,0.0,2,0.8092,3.8891119956970215
1000,2600,0.0,2,0.8064,4.064069747924805
1000,2700,0.0,2,0.8072,4.5326080322265625
1000,2800,0.0,2,0.8048,4.3637535572052
1000,2900,0.0,2,0.8136,4.4937498569488525
1000,3000,0.0,2,0.8088,4.613598585128784
1000,3100,0.0,2,0.8104,4.808861017227173
1000,3200,0.0,2,0.8052,4.712685585021973
1000,3300,0.0,2,0.8128,5.131125450134277
1000,3400,0.0,2,0.81,4.977935552597046
1000,3500,0.0,2,0.8104,5.264308929443359
1000,3600,0.0,2,0.8148,5.399734258651733
1000,3700,0.0,2,0.8096,5.406811714172363
1000,3800,0.0,2,0.8128,5.5039613246917725
1000,3900,0.0,2,0.8144,5.624297380447388
1000,4000,0.0,2,0.814,6.077402114868164
1000,4100,0.0,2,0.8144,5.919493198394775
1000,4200,0.0,2,0.8192,6.027101993560791
1000,4300,0.0,2,0.8208,6.314929485321045
1000,4400,0.0,2,0.8152,6.251105308532715
1000,4500,0.0,2,0.8184,6.435549259185791
1000,4600,0.0,2,0.8168,6.794034481048584
1000,4700,0.0,2,0.8212,7.52927827835083
1000,4800,0.0,2,0.8188,7.214874029159546
1000,4900,0.0,2,0.8164,7.009026527404785
