initial_size,new_size,colapse_rate,cv,score,time
50000,76000,0.0,1,0.8437,69.0059757232666
50000,77000,0.0,1,0.8433,71.22905969619751
50000,78000,0.0,1,0.8432,73.50234413146973
50000,79000,0.0,1,0.83945,74.77695417404175
50000,80000,0.0,1,0.84135,74.46619534492493
50000,50000,0.0,2,0.84915,46.3745698928833
50000,51000,0.0,2,0.8491,63.262574911117554
50000,52000,0.0,2,0.84625,47.12087273597717
50000,53000,0.0,2,0.8456,49.1778130531311
50000,54000,0.0,2,0.84785,54.6978280544281
50000,55000,0.0,2,0.84995,51.97277235984802
50000,56000,0.0,2,0.84405,53.560681104660034
50000,57000,0.0,2,0.84965,55.5608606338501
50000,58000,0.0,2,0.84615,58.58592700958252
50000,59000,0.0,2,0.84965,74.98820734024048
50000,60000,0.0,2,0.84685,58.71892309188843
50000,61000,0.0,2,0.84395,70.08523654937744
50000,62000,0.0,2,0.8464,70.20165252685547
50000,63000,0.0,2,0.8519,67.6538097858429
50000,64000,0.0,2,0.84925,78.54605436325073
50000,65000,0.0,2,0.84975,63.13781523704529
50000,66000,0.0,2,0.8494,75.2366201877594
50000,67000,0.0,2,0.8504,71.2086546421051
50000,68000,0.0,2,0.8501,73.90785956382751
50000,69000,0.0,2,0.85075,76.65539026260376
50000,70000,0.0,2,0.8505,76.1828887462616
50000,71000,0.0,2,0.84975,72.68926978111267
50000,72000,0.0,2,0.85085,85.58840107917786
50000,73000,0.0,2,0.8522,74.81622648239136
50000,74000,0.0,2,0.85185,79.78220748901367
50000,75000,0.0,2,0.85015,86.22943544387817
50000,76000,0.0,2,0.8511,78.36278986930847
50000,77000,0.0,2,0.84835,80.59883499145508
50000,78000,0.0,2,0.85295,101.46219205856323
50000,79000,0.0,2,0.84745,88.47369050979614
50000,80000,0.0,2,0.85035,85.18697047233582
50000,50000,0.0,3,0.84705,42.981178522109985
50000,51000,0.0,3,0.8468,46.127275228500366
50000,52000,0.0,3,0.8442,49.0201096534729
50000,53000,0.0,3,0.84395,49.07445430755615
50000,54000,0.0,3,0.8463,51.446744441986084
50000,55000,0.0,3,0.846,54.338906049728394
