generation,score,collapse_rate,min_df,ngram_range,max_features,n_estimators,max_depth,min_samples_split,min_samples_leaf,bootstrap,time
1,0.82826,0.03207336972483196,"2","(1, 1)",sqrt,1277,19,7,3,False,266.66686272621155
1,0.8148,0.03955541319416741,"3","(1, 1)",sqrt,170,33,7,4,True,279.92144656181335
1,0.83212,0.050374394985211124,"2","(1, 8)",sqrt,663,42,4,5,True,358.15195870399475
1,0.80594,0.05883690723226108,"1","(1, 2)",log2,1670,5,3,5,False,359.00649094581604
1,0.82614,0.03694673556279844,"5","(1, 4)",sqrt,941,16,3,1,True,362.67029905319214
1,0.82914,0.03332533887083948,"5","(1, 4)",sqrt,941,16,3,1,True,370.3795564174652
1,0.8328399999999998,0.044292355268496134,"4","(1, 3)",sqrt,853,60,4,3,True,372.6098906993866
1,0.8309599999999999,0.04639602416148464,"5","(1, 4)",sqrt,941,16,3,1,True,376.44227480888367
1,0.83554,0.03306074622160868,"2","(1, 8)",sqrt,663,42,4,5,True,384.20818281173706
1,0.8318,0.04609423752018064,"5","(1, 4)",sqrt,941,16,3,1,True,380.1143674850464
1,0.8292200000000001,0.059306282228206074,"5","(1, 4)",sqrt,941,16,3,1,True,381.69174098968506
1,0.8351799999999999,0.03707293484537988,"2","(1, 8)",sqrt,663,42,4,5,True,387.8476812839508
1,0.8300599999999999,0.04721644676182175,"5","(1, 4)",sqrt,941,16,3,1,True,385.18983459472656
1,0.83354,0.03753184358982848,"5","(1, 4)",sqrt,941,16,3,1,True,386.0558753013611
1,0.8280800000000001,0.052661310968444466,"5","(1, 4)",sqrt,941,16,3,1,True,387.7712812423706
1,0.82524,0.07463508855368083,"5","(1, 4)",sqrt,941,16,3,1,True,389.92461681365967
1,0.83308,0.047012924042300466,"5","(1, 4)",sqrt,941,16,3,1,True,395.5791959762573
1,0.83546,0.047312999990703854,"1","(1, 3)",sqrt,873,45,4,1,False,410.29429292678833
1,0.8242800000000001,0.06647327146795684,"1","(1, 2)",log2,1670,5,3,5,False,407.5945973396301
1,0.82412,0.05549814045692576,"1","(1, 2)",log2,1670,5,3,5,False,414.9289572238922
1,0.8344400000000001,0.05109664484484324,"2","(1, 8)",sqrt,663,42,4,5,True,417.8515989780426
